Department Name,Measure ID,Measure Name,Frequency,Fiscal Year,Result,Goal,Long Term Goal,Data as of Date,Frequency of Goal,Supports Goal Value,Supports Goal,Dashboard Indicator Value,Dashboard Indicator,Legend
Animal Services,8411,Percent of sheltered animals returned-to-owner,Annual,2012,18,,,9/30/12 0:00,Annual,0,No,0,No,
Animal Services,8411,Percent of sheltered animals returned-to-owner,Annual,2013,15.8,20,,9/30/13 0:00,Annual,0,No,0,No,
Animal Services,8411,Percent of sheltered animals returned-to-owner,Annual,2014,16.4,18,,9/30/14 0:00,Annual,0,No,0,No,
Animal Services,8411,Percent of sheltered animals returned-to-owner,Annual,2015,19.23,15.5,,9/30/15 0:00,Annual,0,No,0,No,
Animal Services,8415,Shelter intake per capita,Annual,2011,1.67,,,9/30/11 0:00,Annual,0,No,0,No,
Animal Services,8415,Shelter intake per capita,Annual,2012,1.77,,,9/30/12 0:00,Annual,0,No,0,No,
Animal Services,8415,Shelter intake per capita,Annual,2013,1.65,2,,9/30/13 0:00,Annual,0,No,0,No,
Animal Services,8415,Shelter intake per capita,Annual,2014,1.51,2,,9/30/14 0:00,Annual,0,No,0,No,
Animal Services,8415,Shelter intake per capita,Annual,2015,1.54,2,,9/30/15 0:00,Annual,0,No,0,No,
Austin Code,7022,Average number of days from when code compliance complaints are first assigned to inspectors until first response,Annual,2010,5.69,2,,9/30/10 0:00,Annual,0,No,0,No,
Austin Code,7022,Average number of days from when code compliance complaints are first assigned to inspectors until first response,Annual,2011,5.13,2,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Code,7022,Average number of days from when code compliance complaints are first assigned to inspectors until first response,Annual,2012,3.13,2,,9/30/12 0:00,Annual,1,Yes,0,No,
Austin Code,7022,Average number of days from when code compliance complaints are first assigned to inspectors until first response,Annual,2013,3.38,2,,9/30/13 0:00,Annual,1,Yes,0,No,
Austin Code,7022,Average number of days from when code compliance complaints are first assigned to inspectors until first response,Annual,2014,4.52,2,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Code,7022,Average number of days from when code compliance complaints are first assigned to inspectors until first response,Annual,2015,3.11,3.45,2,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Code,6501,Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance,Annual,2010,29.4,45,,9/30/10 0:00,Annual,0,No,0,No,
Austin Code,6501,Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance,Annual,2011,19.7,45,,9/30/11 0:00,Annual,0,No,0,No,
Austin Code,6501,Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance,Annual,2012,13.61,45,,9/30/12 0:00,Annual,0,No,0,No,
Austin Code,6501,Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance,Annual,2013,14.34,45,,9/30/13 0:00,Annual,0,No,0,No,
Austin Code,6501,Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance,Annual,2014,15.21,45,,9/30/14 0:00,Annual,0,No,0,No,
Austin Code,6501,Average number of days from when Nuisance Abatement complaints are first reported until non-judicial compliance,Annual,2015,36.3,45,,9/30/15 0:00,Annual,0,No,0,No,
Austin Code,7225,Average number of days from when Substandard Structure complaints are first reported until non-judicial compliance,Annual,2011,115.58,60,,9/30/11 0:00,Annual,0,No,0,No,
Austin Code,7225,Average number of days from when Substandard Structure complaints are first reported until non-judicial compliance,Annual,2012,106.24,60,,9/30/12 0:00,Annual,0,No,0,No,
Austin Code,7225,Average number of days from when Substandard Structure complaints are first reported until non-judicial compliance,Annual,2013,222.7,60,,9/30/13 0:00,Annual,0,No,0,No,
Austin Code,7225,Average number of days from when Substandard Structure complaints are first reported until non-judicial compliance,Annual,2014,200.85,60,,9/30/14 0:00,Annual,0,No,0,No,
Austin Code,7225,Average number of days from when Substandard Structure complaints are first reported until non-judicial compliance,Annual,2015,152.93,60,,9/30/15 0:00,Annual,0,No,0,No,
Austin Code,7226,Average number of days from when Zoning complaints are first reported until non-judicial compliance,Annual,2011,114.18,60,,9/30/11 0:00,Annual,0,No,0,No,
Austin Code,7226,Average number of days from when Zoning complaints are first reported until non-judicial compliance,Annual,2012,133.77,60,,9/30/12 0:00,Annual,0,No,0,No,
Austin Code,7226,Average number of days from when Zoning complaints are first reported until non-judicial compliance,Annual,2013,135.25,60,,9/30/13 0:00,Annual,0,No,0,No,
Austin Code,7226,Average number of days from when Zoning complaints are first reported until non-judicial compliance,Annual,2014,152.86,60,,9/30/14 0:00,Annual,0,No,0,No,
Austin Code,7226,Average number of days from when Zoning complaints are first reported until non-judicial compliance,Annual,2015,129.29,60,,9/30/15 0:00,Annual,0,No,0,No,
Austin Code,7231,Average number of training hours for investigative FTEs for fiscal year,Annual,2011,94.24,40,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Code,7231,Average number of training hours for investigative FTEs for fiscal year,Annual,2012,70.15,40,,9/30/12 0:00,Annual,1,Yes,0,No,
Austin Code,7231,Average number of training hours for investigative FTEs for fiscal year,Annual,2013,89.3,40,,9/30/13 0:00,Annual,1,Yes,0,No,
Austin Code,7231,Average number of training hours for investigative FTEs for fiscal year,Annual,2014,70.08,40,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Code,7231,Average number of training hours for investigative FTEs for fiscal year,Annual,2015,83.53,60,,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Code,7024,Total number of community and commercial events attended,Annual,2011,38,4,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Code,7024,Total number of community and commercial events attended,Annual,2012,46,40,,9/30/12 0:00,Annual,1,Yes,0,No,
Austin Code,7024,Total number of community and commercial events attended,Annual,2013,51,40,,9/30/13 0:00,Annual,0,No,0,No,
Austin Code,7024,Total number of community and commercial events attended,Annual,2014,80,40,,9/30/14 0:00,Annual,0,No,0,No,
Austin Code,7024,Total number of community and commercial events attended,Annual,2015,93,50,,9/30/15 0:00,Annual,0,No,0,No,
Austin Convention Center,7734,ACC Exhibit Hall and Ballroom Occupancy,Annual,2011,54,47,,9/30/11 0:00,Annual,0,No,0,No,
Austin Convention Center,7734,ACC Exhibit Hall and Ballroom Occupancy,Annual,2012,56,47,,9/30/12 0:00,Annual,0,No,0,No,
Austin Convention Center,7734,ACC Exhibit Hall and Ballroom Occupancy,Annual,2013,56,47,,9/30/13 0:00,Annual,0,No,0,No,
Austin Convention Center,7734,ACC Exhibit Hall and Ballroom Occupancy,Annual,2014,59,47,,9/30/14 0:00,Annual,0,No,0,No,
Austin Convention Center,7734,ACC Exhibit Hall and Ballroom Occupancy,Annual,2015,61,49,,9/30/15 0:00,Annual,0,No,0,No,
Austin Convention Center,8290,Convention Center All Funds Combined Ending Balance,Annual,2011,28701208,16500000,,9/30/11 0:00,Annual,0,No,0,No,
Austin Convention Center,8290,Convention Center All Funds Combined Ending Balance,Annual,2012,28393095,26500000,,9/30/12 0:00,Annual,0,No,0,No,
Austin Convention Center,8290,Convention Center All Funds Combined Ending Balance,Annual,2013,33470598,22000000,,9/30/13 0:00,Annual,0,No,0,No,
Austin Convention Center,8290,Convention Center All Funds Combined Ending Balance,Annual,2014,53891394,31200000,,9/30/14 0:00,Annual,0,No,0,No,
Austin Convention Center,8290,Convention Center All Funds Combined Ending Balance,Annual,2015,38358914,28257081,,9/30/15 0:00,Annual,0,No,0,No,
Austin Convention Center,1146,Cumulative Client Evaluation Ratings Summary (5.0 scale),Annual,2010,4.69,4.25,,9/30/10 0:00,Annual,1,Yes,0,No,
Austin Convention Center,1146,Cumulative Client Evaluation Ratings Summary (5.0 scale),Annual,2011,4.66,4.25,,9/30/11 0:00,Annual,0,No,0,No,
Austin Convention Center,1146,Cumulative Client Evaluation Ratings Summary (5.0 scale),Annual,2012,4.72,4.5,,9/30/12 0:00,Annual,0,No,0,No,
Austin Convention Center,1146,Cumulative Client Evaluation Ratings Summary (5.0 scale),Annual,2013,4.69,4.53,,9/30/13 0:00,Annual,0,No,0,No,
Austin Convention Center,1146,Cumulative Client Evaluation Ratings Summary (5.0 scale),Annual,2014,4.69,4.59,,9/30/14 0:00,Annual,0,No,0,No,
Austin Convention Center,1146,Cumulative Client Evaluation Ratings Summary (5.0 scale),Annual,2015,4.67,4.6,,9/30/15 0:00,Annual,0,No,0,No,
Austin Convention Center,1154,Hotel Occupancy Tax Distributions,Annual,2010,39697012,42297405,,9/30/10 0:00,Annual,1,Yes,0,No,
Austin Convention Center,1154,Hotel Occupancy Tax Distributions,Annual,2011,46809809,40685000,,9/30/11 0:00,Annual,0,No,0,No,
Austin Convention Center,1154,Hotel Occupancy Tax Distributions,Annual,2012,51049877,44789550,,9/30/12 0:00,Annual,0,No,0,No,
Austin Convention Center,1154,Hotel Occupancy Tax Distributions,Annual,2013,59622189,51489237,,9/30/13 0:00,Annual,0,No,0,No,
Austin Convention Center,1154,Hotel Occupancy Tax Distributions,Annual,2014,68156254,59924614,,9/30/14 0:00,Annual,0,No,0,No,
Austin Convention Center,1154,Hotel Occupancy Tax Distributions,Annual,2015,79446644,68666068,,9/30/15 0:00,Annual,0,No,0,No,
Austin Convention Center,1147,Percentage of Clients indicating they would schedule another event at the Convention Center facilities,Annual,2010,97.2,90,,9/30/10 0:00,Annual,0,No,0,No,
Austin Convention Center,1147,Percentage of Clients indicating they would schedule another event at the Convention Center facilities,Annual,2011,97.6,90,,9/30/11 0:00,Annual,0,No,0,No,
Austin Convention Center,1147,Percentage of Clients indicating they would schedule another event at the Convention Center facilities,Annual,2012,98.7,90,,9/30/12 0:00,Annual,0,No,0,No,
Austin Convention Center,1147,Percentage of Clients indicating they would schedule another event at the Convention Center facilities,Annual,2013,99,90,,9/30/13 0:00,Annual,0,No,0,No,
Austin Convention Center,1147,Percentage of Clients indicating they would schedule another event at the Convention Center facilities,Annual,2014,100,90,,9/30/14 0:00,Annual,0,No,0,No,
Austin Convention Center,1147,Percentage of Clients indicating they would schedule another event at the Convention Center facilities,Annual,2015,99.1,95,,9/30/15 0:00,Annual,0,No,0,No,
Austin Energy,7446,Credit rating for separate-lien electric utility system revenue bonds,Annual,2010,43,41,,9/30/10 0:00,Annual,0,No,0,No,Bond Rating
Austin Energy,7446,Credit rating for separate-lien electric utility system revenue bonds,Annual,2011,43,41,,9/30/11 0:00,Annual,0,No,0,No,Bond Rating
Austin Energy,7446,Credit rating for separate-lien electric utility system revenue bonds,Annual,2012,43,41,,9/30/12 0:00,Annual,0,No,0,No,Bond Rating
Austin Energy,7446,Credit rating for separate-lien electric utility system revenue bonds,Annual,2013,42,41,,9/30/13 0:00,Annual,0,No,0,No,Bond Rating
Austin Energy,7446,Credit rating for separate-lien electric utility system revenue bonds,Annual,2014,42,42,,9/30/14 0:00,Annual,0,No,0,No,Bond Rating
Austin Energy,7446,Credit rating for separate-lien electric utility system revenue bonds,Annual,2015,42,42,,9/30/15 0:00,Annual,0,No,0,No,Bond Rating
Austin Energy,7437,Customer Satisfaction Index,Annual,2010,71,83,,9/30/10 0:00,Annual,0,No,0,No,
Austin Energy,7437,Customer Satisfaction Index,Annual,2011,70,83,,9/30/11 0:00,Annual,0,No,0,No,
Austin Energy,7437,Customer Satisfaction Index,Annual,2012,61.4,83,,9/30/12 0:00,Annual,0,No,0,No,
Austin Energy,7437,Customer Satisfaction Index,Annual,2013,65,83,,9/30/13 0:00,Annual,0,No,0,No,
Austin Energy,7437,Customer Satisfaction Index,Annual,2014,62.7,83,,9/30/14 0:00,Annual,0,No,0,No,
Austin Energy,7437,Customer Satisfaction Index,Annual,2015,59,75,,9/30/15 0:00,Annual,0,No,0,No,
Austin Energy,7602,Heat Rate,Annual,2011,9943,9800,,9/30/11 0:00,Annual,0,No,0,No,
Austin Energy,7602,Heat Rate,Annual,2012,10050,9800,,9/30/12 0:00,Annual,0,No,0,No,
Austin Energy,7602,Heat Rate,Annual,2013,9972,9850,,9/30/13 0:00,Annual,0,No,0,No,
Austin Energy,7602,Heat Rate,Annual,2014,10005.17,10070,,9/30/14 0:00,Annual,0,No,0,No,
Austin Energy,7602,Heat Rate,Annual,2015,9945,10151.85,,9/30/15 0:00,Annual,0,No,0,No,
Austin Energy,7438,Power Supply Cost average (cents per Kilowatt hour),Annual,2010,3.446,3.653,,9/30/10 0:00,Annual,0,No,0,No,
Austin Energy,7438,Power Supply Cost average (cents per Kilowatt hour),Annual,2011,3.523,3.653,,9/30/11 0:00,Annual,0,No,0,No,
Austin Energy,7438,Power Supply Cost average (cents per Kilowatt hour),Annual,2012,3.44,3.249,,9/30/12 0:00,Annual,0,No,0,No,
Austin Energy,7438,Power Supply Cost average (cents per Kilowatt hour),Annual,2013,3.71,3.33,,9/30/13 0:00,Annual,0,No,0,No,
Austin Energy,7438,Power Supply Cost average (cents per Kilowatt hour),Annual,2014,3.97,3.59,,9/30/14 0:00,Annual,0,No,0,No,
Austin Energy,7438,Power Supply Cost average (cents per Kilowatt hour),Annual,2015,3.5,3.96,,9/30/15 0:00,Annual,0,No,0,No,
Austin Energy,7433,Renewable Power Generated as a Percent of Consumption,Annual,2010,9.6,12.2,,9/30/10 0:00,Annual,0,No,0,No,
Austin Energy,7433,Renewable Power Generated as a Percent of Consumption,Annual,2011,10.3,12.5,,9/30/11 0:00,Annual,0,No,1,Yes,
Austin Energy,7433,Renewable Power Generated as a Percent of Consumption,Annual,2012,15.06,17.6,,9/30/12 0:00,Annual,0,No,1,Yes,
Austin Energy,7433,Renewable Power Generated as a Percent of Consumption,Annual,2013,20.3,21.3,,9/30/13 0:00,Annual,0,No,1,Yes,
Austin Energy,7433,Renewable Power Generated as a Percent of Consumption,Annual,2014,20.8,23.8,35,9/30/14 0:00,Annual,0,No,1,Yes,
Austin Energy,7433,Renewable Power Generated as a Percent of Consumption,Annual,2015,23.1,31.8,35,9/30/15 0:00,Annual,0,No,1,Yes,
Austin Energy,7412,System Average Interruption Frequency Index (SAIFI) (electricity outage frequency),Annual,2010,0.69,0.8,,9/30/10 0:00,Annual,0,No,0,No,
Austin Energy,7412,System Average Interruption Frequency Index (SAIFI) (electricity outage frequency),Annual,2011,0.77,0.8,,9/30/11 0:00,Annual,0,No,1,Yes,
Austin Energy,7412,System Average Interruption Frequency Index (SAIFI) (electricity outage frequency),Annual,2012,0.77,0.8,,9/30/12 0:00,Annual,0,No,1,Yes,
Austin Energy,7412,System Average Interruption Frequency Index (SAIFI) (electricity outage frequency),Annual,2013,0.59,0.8,,9/30/13 0:00,Annual,0,No,1,Yes,
Austin Energy,7412,System Average Interruption Frequency Index (SAIFI) (electricity outage frequency),Annual,2014,0.57,0.8,,9/30/14 0:00,Annual,0,No,1,Yes,
Austin Energy,7412,System Average Interruption Frequency Index (SAIFI) (electricity outage frequency),Annual,2015,0.65,0.8,,9/30/15 0:00,Annual,0,No,1,Yes,
Austin Public Library,6869,Circulation per capita,Annual,2010,5.57,,,9/30/10 0:00,Annual,0,No,0,No,
Austin Public Library,6869,Circulation per capita,Annual,2011,5.86,5.89,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Public Library,6869,Circulation per capita,Annual,2012,5.97,5.85,,9/30/12 0:00,Annual,1,Yes,0,No,
Austin Public Library,6869,Circulation per capita,Annual,2013,6.18,6.27,,9/30/13 0:00,Annual,1,Yes,0,No,
Austin Public Library,6869,Circulation per capita,Annual,2014,6.32,6.39,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Public Library,6869,Circulation per capita,Annual,2015,6.27,6.4,,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Public Library,2309,Citizen satisfaction with materials at libraries (%),Annual,2010,71,87,,9/30/10 0:00,Annual,0,No,0,No,
Austin Public Library,2309,Citizen satisfaction with materials at libraries (%),Annual,2011,72,80,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Public Library,2309,Citizen satisfaction with materials at libraries (%),Annual,2012,73,80,,9/30/12 0:00,Annual,1,Yes,0,No,
Austin Public Library,2309,Citizen satisfaction with materials at libraries (%),Annual,2013,71,80,,9/30/13 0:00,Annual,1,Yes,0,No,
Austin Public Library,2309,Citizen satisfaction with materials at libraries (%),Annual,2014,72,80,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Public Library,2309,Citizen satisfaction with materials at libraries (%),Annual,2015,70,80,,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Public Library,2311,Citizen satisfaction with quality of city libraries (%),Annual,2010,73,90,,9/30/10 0:00,Annual,0,No,0,No,
Austin Public Library,2311,Citizen satisfaction with quality of city libraries (%),Annual,2011,73,78,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Public Library,2311,Citizen satisfaction with quality of city libraries (%),Annual,2012,72,77,,9/30/12 0:00,Annual,1,Yes,0,No,
Austin Public Library,2311,Citizen satisfaction with quality of city libraries (%),Annual,2013,72,75,,9/30/13 0:00,Annual,1,Yes,0,No,
Austin Public Library,2311,Citizen satisfaction with quality of city libraries (%),Annual,2014,74,75,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Public Library,2311,Citizen satisfaction with quality of city libraries (%),Annual,2015,73,75,,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Public Library,8043,Internet sessions per capita,Annual,2011,1.17,,,9/30/11 0:00,Annual,0,No,0,No,
Austin Public Library,8043,Internet sessions per capita,Annual,2012,1.15,,,9/30/12 0:00,Annual,0,No,0,No,
Austin Public Library,8043,Internet sessions per capita,Annual,2013,1.23,1.18,,9/30/13 0:00,Annual,0,No,0,No,
Austin Public Library,8043,Internet sessions per capita,Annual,2014,1.16,1.28,,9/30/14 0:00,Annual,0,No,0,No,
Austin Public Library,8043,Internet sessions per capita,Annual,2015,1.09,1.36,,9/30/15 0:00,Annual,0,No,0,No,
Austin Public Library,6871,Library program attendance per capita,Annual,2010,0.16,,,9/30/10 0:00,Annual,0,No,0,No,
Austin Public Library,6871,Library program attendance per capita,Annual,2011,0.15,0.17,,9/30/11 0:00,Annual,0,No,1,Yes,
Austin Public Library,6871,Library program attendance per capita,Annual,2012,0.14,0.14,,9/30/12 0:00,Annual,0,No,1,Yes,
Austin Public Library,6871,Library program attendance per capita,Annual,2013,0.16,0.16,,9/30/13 0:00,Annual,0,No,1,Yes,
Austin Public Library,6871,Library program attendance per capita,Annual,2014,0.18,0.16,,9/30/14 0:00,Annual,0,No,1,Yes,
Austin Public Library,6871,Library program attendance per capita,Annual,2015,0.2,0.19,,9/30/15 0:00,Annual,0,No,1,Yes,
Austin Public Library,2308,Materials expenditures per capita,Annual,2010,2.84,2.83,,9/30/10 0:00,Annual,0,No,0,No,
Austin Public Library,2308,Materials expenditures per capita,Annual,2011,3.44,3.49,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Public Library,2308,Materials expenditures per capita,Annual,2012,3.4,3.34,,9/30/12 0:00,Annual,1,Yes,0,No,
Fire,7532,Number of free smoke alarms installed,Annual,2015,2489,2200,,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Public Library,2308,Materials expenditures per capita,Annual,2013,3.85,3.4,,9/30/13 0:00,Annual,1,Yes,0,No,
Austin Public Library,2308,Materials expenditures per capita,Annual,2014,3.7,3.42,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Public Library,2308,Materials expenditures per capita,Annual,2015,3.74,3.44,,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Public Library,6870,Visits per capita,Annual,2010,4.75,,,9/30/10 0:00,Annual,0,No,0,No,
Austin Public Library,6870,Visits per capita,Annual,2011,4.45,4.97,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Public Library,6870,Visits per capita,Annual,2012,4.27,4.42,,9/30/12 0:00,Annual,1,Yes,0,No,
Austin Public Library,6870,Visits per capita,Annual,2013,4.01,4.36,,9/30/13 0:00,Annual,1,Yes,0,No,
Austin Public Library,6870,Visits per capita,Annual,2014,3.74,3.76,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Resource Recovery,3347,Average pounds of recycled materials collected per customer account per week,Annual,2010,11.31,11.73,,9/30/10 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3347,Average pounds of recycled materials collected per customer account per week,Annual,2011,11.1,11.66,,9/30/11 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3347,Average pounds of recycled materials collected per customer account per week,Annual,2012,11.36,12.22,,9/30/12 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3347,Average pounds of recycled materials collected per customer account per week,Annual,2013,11.13,12.91,,9/30/13 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3347,Average pounds of recycled materials collected per customer account per week,Annual,2014,11.4,12.82,,9/30/14 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3347,Average pounds of recycled materials collected per customer account per week,Annual,2015,11.65,11.9,,9/30/15 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3339,Average pounds of trash per customer account per week,Annual,2010,27.99,30.74,,9/30/10 0:00,Annual,1,Yes,0,No,
Austin Resource Recovery,3339,Average pounds of trash per customer account per week,Annual,2011,26.7,26.53,,9/30/11 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3339,Average pounds of trash per customer account per week,Annual,2012,27.06,25.06,,9/30/12 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3339,Average pounds of trash per customer account per week,Annual,2013,25.53,26.03,,9/30/13 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3339,Average pounds of trash per customer account per week,Annual,2014,25.96,24.64,,9/30/14 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3339,Average pounds of trash per customer account per week,Annual,2015,26.25,24.41,,9/30/15 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3357,Average pounds of yard trimmings/organics collected per customer account per week,Annual,2010,4.84,4.97,,9/30/10 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3357,Average pounds of yard trimmings/organics collected per customer account per week,Annual,2011,5.27,5.15,,9/30/11 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3357,Average pounds of yard trimmings/organics collected per customer account per week,Annual,2012,4.56,5.09,,9/30/12 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3357,Average pounds of yard trimmings/organics collected per customer account per week,Annual,2013,5.37,5.53,,9/30/13 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3357,Average pounds of yard trimmings/organics collected per customer account per week,Annual,2014,5.62,6.21,,9/30/14 0:00,Annual,0,No,0,No,
Austin Resource Recovery,3357,Average pounds of yard trimmings/organics collected per customer account per week,Annual,2015,5.69,5.76,,9/30/15 0:00,Annual,0,No,0,No,
Austin Resource Recovery,7188,Customer satisfaction with the quality of residential curbside trash collection in the City of Austin Citizen Survey,Annual,2010,82,83,,9/30/10 0:00,Annual,0,No,0,No,
Austin Resource Recovery,7188,Customer satisfaction with the quality of residential curbside trash collection in the City of Austin Citizen Survey,Annual,2011,85,83,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Transportation,6913,Percent of signs that are in fair to excellent condition,Annual,2012,92.9,75,,9/30/12 0:00,Annual,0,No,0,No,
Austin Transportation,6913,Percent of signs that are in fair to excellent condition,Annual,2013,93,85,,9/30/13 0:00,Annual,0,No,0,No,
Austin Resource Recovery,7188,Customer satisfaction with the quality of residential curbside trash collection in the City of Austin Citizen Survey,Annual,2012,83,90,,9/30/12 0:00,Annual,1,Yes,0,No,
Austin Resource Recovery,7188,Customer satisfaction with the quality of residential curbside trash collection in the City of Austin Citizen Survey,Annual,2013,85,90,,9/30/13 0:00,Annual,1,Yes,0,No,
Austin Resource Recovery,7188,Customer satisfaction with the quality of residential curbside trash collection in the City of Austin Citizen Survey,Annual,2014,85,87,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Resource Recovery,7188,Customer satisfaction with the quality of residential curbside trash collection in the City of Austin Citizen Survey,Annual,2015,87,87,,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Resource Recovery,7986,Lost Time Injury Rate Per the Equivalent of 100 Employees (8+ day lost time),Annual,2014,1,2,,9/30/14 0:00,Annual,0,No,0,No,
Austin Resource Recovery,7986,Lost Time Injury Rate Per the Equivalent of 100 Employees (8+ day lost time),Annual,2015,1,2,,9/30/15 0:00,Annual,0,No,0,No,
Austin Resource Recovery,7020,"Percent of waste stream diverted by ARR curbside, reuse, and HHW operations",Annual,2010,37.32,37.1,,9/30/10 0:00,Annual,0,No,0,No,
Austin Resource Recovery,7020,"Percent of waste stream diverted by ARR curbside, reuse, and HHW operations",Annual,2011,38.57,39.1,,9/30/11 0:00,Annual,0,No,1,Yes,
Austin Resource Recovery,7020,"Percent of waste stream diverted by ARR curbside, reuse, and HHW operations",Annual,2012,37.86,41.5,,9/30/12 0:00,Annual,0,No,1,Yes,
Austin Resource Recovery,7020,"Percent of waste stream diverted by ARR curbside, reuse, and HHW operations",Annual,2013,39.64,42.04,,9/30/13 0:00,Annual,0,No,1,Yes,
Austin Resource Recovery,7020,"Percent of waste stream diverted by ARR curbside, reuse, and HHW operations",Annual,2014,39.61,44,,9/30/14 0:00,Annual,0,No,1,Yes,
Austin Resource Recovery,7020,"Percent of waste stream diverted by ARR curbside, reuse, and HHW operations",Annual,2015,39.95,42.48,,9/30/15 0:00,Annual,0,No,1,Yes,
Austin Transportation,7659,"Percent of residents ""satisfied"" or ""very satisfied"" with signal timing on major streets",Annual,2010,44,44,,9/30/10 0:00,Annual,0,No,0,No,
Austin Transportation,7659,"Percent of residents ""satisfied"" or ""very satisfied"" with signal timing on major streets",Annual,2011,48,44,,9/30/11 0:00,Annual,0,No,0,No,
