ID,physicalActivity,physicalActivityPerMonth,volunteerParticipation,volunteerPerMonth,ttcTransportation,walkTransportation,driveTransportation,cycleTransportation,taxiTransportation,communityRideTransportation,wheelTransTransportation,friendsTransportation,difficultFinancial,supportSystem,postalCode,employmentStatus,sex,primaryLanguage,ageRange,minAgeRange
20,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,L1S,Employed full-time,Male,English,70-74 years,70
21,At least a few times each week,8,At least once a day,30,1,,1,,,,,,No,Yes,L1S ,Retired,Male,Dari,70-74 years,70
22,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,L1V,Retired,Male,English,70-74 years,70
23,At least once a day,30,At least once a day,30,1,1,1,,,,,1,No,Yes,l1v,Retired,Female,,60-64 years,60
24,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,L1W,Employed full-time,Female,English,Less than 54 years,54
25,At least once a week,4,Never,0,,,1,,,,,,No,Yes,L1X,Employed full-time,Female,English,Less than 54 years,54
26,Never,0,,,,,1,,,,,,No,Yes,L1X,Retired,Female,English,65-69 years,65
27,At least once a day,30,Never,0,,,1,,,,,,Yes,,L2T,Employed part-time,Male,Chinese (Cantonese),70-74 years,70
28,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,L3P,Retired,Male,English,60-64 years,60
29,At least once a month,1,At least once a month,1,,,1,,,,,,No,Yes,L3R,Employed full-time,Female,Chinese (Cantonese),55-59 years,55
30,At least a few times each week,8,Never,0,,,1,,,,,,,No,L3R,,Male,Chinese (Cantonese),,
31,At least a few times each week,8,At least once a week,4,,1,1,,,,,,No,Yes,L3R,Retired,Female,Chinese (Cantonese),60-64 years,60
32,At least once a day,30,At least once a week,4,1,,,,,,,1,No,Yes,L3R,Employed full-time,Female,Tagalog,65-69 years,65
33,At least once a week,4,Never,0,,,1,,,,,,No,Yes,L3R,Retired,Male,English,65-69 years,65
34,At least once a day,30,At least once a week,4,1,1,,,,,,,,Yes,L3R,Employed part-time,,Chinese (Cantonese),55-59 years,55
35,Never,0,Never,0,,,1,,,,,,No,Yes,L3R,Retired,Male,,65-69 years,65
36,At least once a week,4,Never,0,,,1,,,,,,No,Yes,L3S,Employed full-time,,,,
37,At least a few times each week,8,Never,0,,,,,,,,1,No,Yes,L3S,Unable to work for health or other reasons,Female,,,
38,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,l3s,Retired,Female,English,70-74 years,70
39,At least once a day,30,Never,0,,,1,,,,,,No,Yes,l3s,"Unemployed, looking for work",Male,English,60-64 years,60
40,At least a few times each week,8,At least once a month,1,1,1,1,,1,,,,No,Yes,L3T,Employed full-time,Female,English,Less than 54 years,54
41,At least a few times each week,8,At least once a month,1,1,1,,,,,,,No,Yes,L3T,Retired,Female,English,60-64 years,60
42,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,L3T,Retired,Female,Chinese (Cantonese),,
43,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,No,Yes,L3T,Retired,Male,Chinese (Cantonese),70-74 years,70
44,At least once a day,30,At least once a day,30,1,1,1,,,,,,No,Yes,L3T,Employed full-time,Female,English,60-64 years,60
45,At least once a day,30,At least once a week,4,1,,1,,,,,,No,Yes,L3X,Employed full-time,Female,English,60-64 years,60
46,At least once a week,4,Never,0,,,1,,,,,,No,Yes,L3Y,Unable to work for health or other reasons,Female,English,60-64 years,60
47,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,l4b,Employed full-time,Female,Russian,Less than 54 years,54
48,At least once a day,30,Never,0,,,,,,,,1,No,Yes,L4c,Retired,Female,English,70-74 years,70
49,At least once a day,30,At least once a week,4,,,1,,,,,,No,Yes,L4C,Employed full-time,,,,
50,At least once a day,30,Never,0,,1,1,,,,,1,No,Yes,L4C,Employed full-time,Female,English,55-59 years,55
51,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,L4C,Employed full-time,Male,English,70-74 years,70
52,At least once a week,4,At least once a week,4,,,1,,,,,,No,Yes,L4E,Retired,Male,Korean,75-79 years,75
53,At least once a day,30,At least once a month,1,,,1,,,,,,No,,L4E,Employed full-time,Male,Chinese (Cantonese),60-64 years,60
54,At least once a day,30,At least once a week,4,,,1,,,,,,No,Yes,L4G,Retired,Female,English,75-79 years,75
55,At least once a day,30,Never,0,,,,,,,,1,No,Yes,L4H,Retired,Female,Other,85 years or older,85
56,At least once a month,1,Never,0,,,1,,,,,,No,Yes,L4H,Employed part-time,Female,English,60-64 years,60
57,At least once a day,30,At least once a week,4,,,1,,,,,,No,Yes,l4h,Retired,Female,French,60-64 years,60
58,At least once a day,30,Never,0,1,1,1,,1,,,,Yes,Yes,L4H,Employed part-time,Female,English,Less than 54 years,54
59,At least once a day,30,Never,0,,,1,,,,,,Yes,Yes,l4j,Employed full-time,Male,English,Less than 54 years,54
60,At least a few times each week,8,,,,,1,,,,,,No,Yes,L4J,Retired,Female,English,80-84 years,80
61,At least once a day,30,At least once a week,4,,,1,,,,,,No,Yes,L4J,Retired,Female,English,85 years or older,85
62,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,L4J,Retired,Female,English,70-74 years,70
63,At least once a month,1,Never,0,,,,,,,1,1,No,Yes,L4J,Retired,Female,English,85 years or older,85
64,At least once a week,4,Never,0,,,,,,,1,1,No,Yes,L4J,Retired,Female,English,85 years or older,85
65,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,L4J,Employed full-time,Female,English,55-59 years,55
66,At least a few times each week,8,At least once a month,1,,,1,,,,,,Yes,Yes,l4j,Employed full-time,Female,English,Less than 54 years,54
67,At least once a week,4,Never,0,,,1,,,,,,No,No,L4J,Employed full-time,Female,English,55-59 years,55
68,At least once a week,4,Never,0,1,1,1,,,,,,No,Yes,L4J,Employed full-time,Female,English,Less than 54 years,54
69,At least a few times each week,8,At least a few times a week,8,,1,1,,,,,,No,Yes,l4j,Employed part-time,Transgender,English,60-64 years,60
70,At least once a day,30,Never,0,1,1,1,1,,,,1,No,Yes,l4j,Employed full-time,Female,,55-59 years,55
71,At least once a week,4,Never,0,,,1,,,,,,No,Yes,L4j,Employed full-time,Male,Spanish,60-64 years,60
72,At least once a day,30,At least once a day,30,,,1,,1,,,1,No,Yes,L4JJ,Retired,Female,English,65-69 years,65
73,At least a few times each week,8,Never,0,1,,,,,,,,No,No,L4K,Retired,Female,Spanish,75-79 years,75
74,At least a few times each week,8,Never,0,,,,,,,1,1,No,Yes,L4L,Retired,Female,Italian,65-69 years,65
75,At least once a day,30,Never,0,1,,,,,,,1,No,Yes,L4L,Employed full-time,Female,Dari,Less than 54 years,54
76,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,L4P,Employed full-time,Female,English,Less than 54 years,54
77,At least a few times each week,8,At least once a month,1,,,1,,,,,,Yes,Yes,L4T,Retired,Male,English,70-74 years,70
78,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,No,L4W,Retired,Female,English,85 years or older,85
79,At least once a week,4,At least once a month,1,,,,,,,1,,No,Yes,l4w,Retired,Male,Chinese (Cantonese),80-84 years,80
80,At least a few times each week,8,At least once a month,1,1,,1,,,,,,No,Yes,L4W,Retired,Female,English,55-59 years,55
81,At least a few times each week,8,At least once a week,4,,1,,,,,,1,No,Yes,L4X,Retired,Female,Other,75-79 years,75
82,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,L4X,Unable to work for health or other reasons,Female,Spanish,Less than 54 years,54
83,At least once a day,30,Never,0,1,1,1,,,,,1,Yes,Yes,L4Y,Employed full-time,Female,English,Less than 54 years,54
84,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,L4Y,Employed part-time,Female,English,70-74 years,70
85,At least once a week,4,Never,0,1,1,1,,,,,,No,Yes,L4Y,Employed full-time,Female,English,Less than 54 years,54
86,Never,0,Never,0,,,1,,,,,,No,No,L4Z,"Unemployed, looking for work",Male,English,65-69 years,65
87,At least a few times each week,8,At least once a week,4,,,1,,,,,,Yes,Yes,L5A,Employed part-time,Female,English,Less than 54 years,54
88,At least once a day,30,Never,0,,,1,,,,,,No,Yes,L5A,Employed full-time,Female,English,Less than 54 years,54
89,At least a few times each week,8,At least once a month,1,,,1,,,,,,Yes,Yes,L5B,Employed full-time,Female,English,Less than 54 years,54
90,At least once a day,30,Never,0,,,1,,,,,,Yes,Yes,L5G,Employed full-time,Female,English,Less than 54 years,54
91,At least once a day,30,At least a few times a week,8,,,1,,,,,,No,No,L5K,Employed full-time,Male,English,55-59 years,55
92,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,l5l,Employed full-time,Female,Chinese (Mandarin),Less than 54 years,54
93,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,L5M,Employed full-time,Female,English,60-64 years,60
94,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,L5M,Employed full-time,Male,Spanish,70-74 years,70
95,Never,0,Never,0,,,1,,,,,,No,Yes,L5N,Employed full-time,Male,English,55-59 years,55
96,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,L5N,Retired,Male,Other,70-74 years,70
97,At least once a day,30,At least once a day,30,,1,1,,,,,,No,Yes,L5N,Employed full-time,Female,English,60-64 years,60
98,At least once a day,30,At least once a day,30,,,1,,,,,,No,Yes,l5r,Retired,Male,Spanish,75-79 years,75
99,At least once a day,30,Never,0,,,1,,,,,,Yes,Yes,L5R,Unable to work for health or other reasons,Female,English,60-64 years,60
100,Never,0,At least once a month,1,,,1,,,,,,No,No,l5R,Employed full-time,Female,,Less than 54 years,54
101,At least once a day,30,At least once a week,4,,1,,,,,,,Yes,Yes,L5V,Employed full-time,Female,English,55-59 years,55
102,At least once a day,30,Never,0,1,,,,,,,1,No,Yes,L5V,Employed full-time,Female,Tagalog,60-64 years,60
103,At least once a day,30,Never,0,,,1,,,,,,No,Yes,L5W,Employed full-time,Female,,Less than 54 years,54
104,At least once a week,4,Never,0,,,1,,,,,,No,No,L6A,Employed part-time,Female,Chinese (Cantonese),65-69 years,65
105,At least a few times each week,8,Never,0,,,,,,,,1,Yes,Yes,L6B,Unable to work for health or other reasons,Female,English,85 years or older,85
106,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,L6C,Employed full-time,Female,Chinese (Mandarin),Less than 54 years,54
107,At least once a day,30,Never,0,,,1,,,,,,No,Yes,L6C,Employed full-time,Female,Chinese (Cantonese),55-59 years,55
108,At least once a week,4,At least once a month,1,,,1,,,,,,No,Yes,L6C,Employed full-time,Female,English,55-59 years,55
109,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,l6E,Employed full-time,Female,English,60-64 years,60
110,At least once a week,4,At least once a day,30,,,1,,,,,,No,Yes,L6E,Employed full-time,Female,English,Less than 54 years,54
111,At least once a week,4,At least once a week,4,,,1,,,,,,No,No,l6g,Retired,Female,Chinese (Cantonese),70-74 years,70
112,At least a few times each week,8,At least once a month,1,,1,1,,,,,,No,Yes,L6H,Employed full-time,Male,English,60-64 years,60
113,At least a few times each week,8,Never,0,1,1,1,,,,,,No,Yes,L6m  ,Retired,Male,Other,80-84 years,80
114,At least once a day,30,Never,0,1,,,,,,,,No,Yes,L6R,Employed full-time,Female,English,60-64 years,60
115,At least once a day,30,At least once a month,1,1,1,1,,,,,,No,Yes,L6R,Employed full-time,Female,English,Less than 54 years,54
116,At least once a day,30,Never,0,,,1,,,,,,No,Yes,L6S,Retired,Male,English,80-84 years,80
117,At least once a day,30,At least once a week,4,,,1,,,,,,No,Yes,L6S,Employed part-time,Male,English,70-74 years,70
118,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,l6x,Employed full-time,Male,English,Less than 54 years,54
119,At least a few times each week,8,At least once a month,1,1,,,,,,,1,No,Yes,L6X,Employed full-time,Female,Tagalog,65-69 years,65
120,At least once a month,1,Never,0,,,,,,,,1,No,Yes,L8W,Retired,Female,English,70-74 years,70
121,At least once a day,30,At least once a week,4,1,1,1,,,,,1,No,Yes,L9H ,Employed full-time,Male,English,Less than 54 years,54
122,At least a few times each week,8,Never,0,,,1,,,,,,Yes,Yes,L9M,Unable to work for health or other reasons,Female,Spanish,55-59 years,55
123,At least a few times each week,8,At least once a month,1,,1,1,1,,,,,No,Yes,LoH,Employed full-time,Male,English,55-59 years,55
124,Never,0,At least once a month,1,1,,,,,,,,No,Yes,L-T -G-,Employed full-time,Female,Spanish,55-59 years,55
125,At least a few times each week,8,At least once a week,4,,1,,,,,,,No,Yes,M,Retired,Female,English,65-69 years,65
126,At least once a day,30,Never,0,1,1,,1,,,,,No,Yes,M,Employed part-time,Female,English,65-69 years,65
127,At least a few times each week,8,At least once a month,1,1,,,,,,,,,Yes,M,Retired,Female,Vietnamese,70-74 years,70
128,At least a few times each week,8,At least once a month,1,,,1,,,,,,,Yes,M 3 k,Retired,Male,Italian,60-64 years,60
129,At least once a day,30,At least once a day,30,,,1,,,,,,No,No,m 4 e,Employed part-time,Female,English,65-69 years,65
130,Never,0,Never,0,1,,,,,,1,,No,Yes,M 4 Y,Retired,Male,English,70-74 years,70
131,Never,0,Never,0,,,,,,,1,,No,Yes,M 6 L,Unable to work for health or other reasons,Female,English,70-74 years,70
132,Never,0,Never,0,,,,,,,1,,No,Yes,M 6A,Unable to work for health or other reasons,Female,,60-64 years,60
133,At least once a day,30,Never,0,,1,,,,,,1,No,Yes,M 9C,Retired,Female,English,80-84 years,80
134,At least once a week,4,At least a few times a week,8,,,1,,,,,,No,Yes,m j n,Retired,Male,Tamil,70-74 years,70
135,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,No,Yes,M W B,Retired,Female,English,70-74 years,70
136,Never,0,Never,0,,,,,,,,1,Yes,Yes,M!T,Retired,Female,English,70-74 years,70
137,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,M#M,Employed full-time,Female,English,55-59 years,55
138,At least once a week,4,At least once a month,1,,,1,,,,,,Yes,Yes,M$C,Employed full-time,Female,,Less than 54 years,54
139,At least once a day,30,Never,0,1,1,1,,,,,,Yes,Yes,M$V,Employed part-time,Male,,65-69 years,65
140,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M(R,Employed full-time,Female,English,60-64 years,60
141,At least once a week,4,At least a few times a week,8,1,1,1,,,,,,No,Yes,M0V,Retired,Male,,70-74 years,70
142,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,M1B,Employed part-time,Female,English,60-64 years,60
143,At least once a day,30,Never,0,1,1,1,1,,,,,No,Yes,M1B,Retired,Male,,65-69 years,65
144,At least a few times each week,8,At least once a day,30,1,1,1,,1,,,1,No,Yes,M1B,Retired,Female,English,70-74 years,70
145,At least once a day,30,At least once a month,1,1,1,1,,1,,,1,Yes,No,M1B,Employed part-time,Female,Tamil,55-59 years,55
146,At least once a day,30,At least once a day,30,1,,,,,,,,No,Yes,M1B,Employed full-time,Female,English,60-64 years,60
147,Never,0,At least once a month,1,,,1,,,,,1,No,Yes,m1b,Retired,Female,Korean,80-84 years,80
148,At least once a week,4,At least once a month,1,,,1,,,,,,No,Yes,M1B,Retired,Female,English,75-79 years,75
149,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,M1B,Retired,Male,English,65-69 years,65
150,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,m1b,Retired,Female,English,70-74 years,70
151,At least once a day,30,Never,0,1,,1,,,,,,No,Yes,M1B,Employed full-time,Female,Other,65-69 years,65
152,At least a few times each week,8,Never,0,,1,,,,,,1,Yes,Yes,M1B,Retired,Female,English,80-84 years,80
153,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,M1B,Retired,Female,Tagalog,75-79 years,75
154,At least a few times each week,8,Never,0,,,,,,,1,1,No,No,M1B,Employed full-time,Female,English,55-59 years,55
155,At least once a day,30,Never,0,1,,1,,,,,,No,Yes,M1B,Retired,Female,English,70-74 years,70
156,At least once a week,4,Never,0,,,1,,,,,,No,Yes,M1B,Retired,Female,English,70-74 years,70
157,Never,0,Never,0,1,,,,,,1,1,Yes,No,m1b,Retired,Female,Other,85 years or older,85
158,At least once a day,30,At least once a day,30,,,1,,,,,,No,Yes,m1B,Retired,Female,,65-69 years,65
159,At least once a week,4,At least once a month,1,,,1,,,,,,No,Yes,m1b,Retired,Male,,65-69 years,65
160,At least once a day,30,At least once a week,4,1,,1,1,,,,,No,Yes,M1B,Retired,Female,English,70-74 years,70
161,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M1B,Retired,Female,English,65-69 years,65
162,At least once a day,30,Never,0,,,1,,,,,,Yes,Yes,M1B,Retired,Male,Hungarian,80-84 years,80
163,At least once a week,4,Never,0,1,,,,1,,,1,Yes,Yes,m1b,Retired,Female,,65-69 years,65
164,At least once a day,30,At least once a month,1,1,,1,,,,,,No,Yes,m1b,Employed full-time,Female,,Less than 54 years,54
165,At least once a day,30,Never,0,,1,1,,,,,,No,Yes,m1b,Retired,Male,Hindi,65-69 years,65
166,At least once a day,30,At least once a month,1,1,,,,,,,,,No,m1b,Retired,Female,Hindi,65-69 years,65
167,,,At least once a month,1,1,,,,,,,1,,Yes,M1B,Employed part-time,Female,Chinese (Mandarin),75-79 years,75
168,At least a few times each week,8,Never,0,1,,,,,,,,,Yes,M1B,Retired,Male,Chinese (Mandarin),85 years or older,85
169,At least a few times each week,8,At least once a day,30,,,,,,,1,,No,Yes,M1B,Retired,Male,Tamil,80-84 years,80
170,At least a few times each week,8,At least once a month,1,1,1,1,,,,,,No,Yes,M1B,Retired,Male,English,70-74 years,70
171,At least a few times each week,8,At least a few times a week,8,1,,1,,,,,,Yes,Yes,M1B,Employed part-time,Female,Tamil,55-59 years,55
172,At least a few times each week,8,Never,0,1,1,1,1,1,,,,No,Yes,M1B,Employed part-time,Male,English,65-69 years,65
173,At least once a day,30,Never,0,1,,,,,,,,No,Yes,M1B,Employed part-time,Female,Chinese (Cantonese),60-64 years,60
174,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,M1B ,Retired,Female,English,75-79 years,75
175,At least once a day,30,Never,0,1,,1,,,,,,No,Yes,M1B ,Employed full-time,Female,Tagalog,65-69 years,65
176,At least once a day,30,At least once a week,4,1,1,1,,,,,1,No,Yes,M1C,Retired,Female,English,65-69 years,65
177,At least once a day,30,At least once a week,4,1,1,,,,,,,No,Yes,M1C,Employed full-time,Female,,55-59 years,55
178,At least once a day,30,At least once a week,4,1,,1,,,,,,No,Yes,M1C,Retired,Male,English,65-69 years,65
179,At least once a day,30,Never,0,,1,1,1,,,,,No,Yes,M1c,Retired,Male,English,60-64 years,60
180,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M1c,Retired,Female,English,65-69 years,65
181,At least once a day,30,At least a few times a week,8,1,1,1,,,,,1,No,Yes,M1C,Retired,Female,English,60-64 years,60
182,At least once a day,30,At least once a month,1,1,1,1,1,,,,,No,Yes,M1C,Employed full-time,Female,,55-59 years,55
183,At least a few times each week,8,At least a few times a week,8,,,,,,,,1,No,Yes,M1C,Retired,Female,English,70-74 years,70
184,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,m1c,Retired,Male,English,65-69 years,65
185,At least a few times each week,8,Never,0,1,,1,,,,,,No,Yes,M1C,Employed part-time,Female,English,70-74 years,70
186,At least a few times each week,8,At least once a month,1,1,1,1,,,,,,No,Yes,M1C,Retired,Female,English,60-64 years,60
187,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,M1C,Retired,Female,English,60-64 years,60
188,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,Yes,M1C,Retired,Female,English,75-79 years,75
189,At least once a month,1,At least once a day,30,,,1,,,,,,No,Yes,M1C,Employed full-time,Male,English,65-69 years,65
190,At least once a day,30,Never,0,1,,1,,,,,1,No,Yes,M1C,Retired,Female,English,70-74 years,70
191,At least once a day,30,Never,0,1,1,1,,1,,,,No,Yes,M1C,Employed full-time,Male,English,Less than 54 years,54
192,At least once a day,30,At least once a week,4,,,1,,,,,,Yes,No,M1C,Employed full-time,Female,English,60-64 years,60
193,At least once a day,30,At least once a month,1,,1,,,,,,,No,Yes,M1C,Retired,Male,English,65-69 years,65
194,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,Yes,Yes,M1c,Retired,Female,English,65-69 years,65
195,At least once a day,30,Never,0,1,1,1,,,,,1,No,Yes,M1C,Employed full-time,Male,English,55-59 years,55
196,At least once a week,4,Never,0,,,,,,,,1,No,Yes,M1C,Retired,Female,English,70-74 years,70
197,At least a few times each week,8,Never,0,,1,,,,,,1,No,Yes,M1C,Retired,Female,English,60-64 years,60
198,At least once a day,30,At least a few times a week,8,,,1,,,,,,No,Yes,M1C,Retired,Male,Vietnamese,75-79 years,75
199,At least once a day,30,Never,0,,,,,,,,1,No,Yes,M1C,Retired,Male,Chinese (Cantonese),75-79 years,75
200,At least once a day,30,At least once a week,4,1,1,1,,,,,,No,Yes,M1C,Retired,Female,,70-74 years,70
201,At least once a day,30,At least once a week,4,,,,1,,,,,No,Yes,M1C,Employed part-time,Female,English,65-69 years,65
202,At least a few times each week,8,Never,0,,1,,1,,,,,No,Yes,M1C,Retired,Female,English,65-69 years,65
203,At least once a day,30,At least once a month,1,,1,,,1,,,1,No,Yes,M1C,Retired,Other,English,85 years or older,85
204,At least a few times each week,8,Never,0,,,,,,,,1,,Yes,m1c,Retired,Male,Urdu,80-84 years,80
205,At least once a day,30,Never,0,,,,,,,,1,,Yes,M1C,Retired,Male,English,65-69 years,65
206,At least a few times each week,8,Never,0,1,,,,,,,,Yes,Yes,M1C ,Employed part-time,Female,English,Less than 54 years,54
207,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,No,Yes,M1C ,Unable to work for health or other reasons,Female,English,60-64 years,60
208,At least once a day,30,At least a few times a week,8,,,1,,,,,,No,Yes,M1Cl,Retired,Female,English,65-69 years,65
209,At least once a week,4,At least once a week,4,,,1,,,,,,No,Yes,M1E,Retired,Female,English,80-84 years,80
210,At least a few times each week,8,Never,0,1,1,,,,,,,No,Yes,m1e,Employed full-time,Female,English,Less than 54 years,54
211,At least once a day,30,At least once a month,1,,1,1,,,,,1,,Yes,m1e,Employed full-time,Male,English,Less than 54 years,54
212,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,M1e,Retired,Female,Vietnamese,70-74 years,70
213,At least a few times each week,8,At least once a week,4,1,1,,,,,1,,Yes,Yes,M1E,Retired,Female,English,70-74 years,70
214,At least once a month,1,Never,0,,1,1,,,,,,No,Yes,M1E,Employed full-time,Female,English,Less than 54 years,54
215,At least a few times each week,8,At least once a month,1,,,1,,,,,,No,,M1E,Retired,Female,English,75-79 years,75
216,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,m1e,Retired,Male,English,80-84 years,80
217,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,m1e,Retired,Female,English,70-74 years,70
218,At least once a day,30,At least once a month,1,,1,1,,1,,,,No,Yes,m1e,Employed full-time,Female,,55-59 years,55
219,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,No,Yes,M1E,Retired,,,,
220,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M1E,Retired,Male,English,70-74 years,70
221,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M1E,Retired,Female,English,70-74 years,70
222,At least once a day,30,Never,0,,1,1,,,,,,No,Yes,m1e,Employed full-time,Female,English,Less than 54 years,54
223,Never,0,Never,0,1,,,,,,,1,No,Yes,M1E,Retired,Female,Tagalog,80-84 years,80
224,At least once a day,30,At least once a week,4,1,,,,,,,,No,Yes,M1E,Unable to work for health or other reasons,Female,English,55-59 years,55
225,At least once a day,30,At least once a week,4,,,1,,,,,,No,Yes,M1E,Employed part-time,,English,70-74 years,70
226,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M1E,Employed full-time,Female,English,60-64 years,60
227,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M1E,Employed full-time,Female,English,60-64 years,60
228,At least a few times each week,8,At least once a month,1,,,,,,,1,1,Yes,Yes,M1E,Retired,Male,English,75-79 years,75
229,Never,0,Never,0,,,,,,1,,,Yes,Yes,M1e,Retired,Female,English,60-64 years,60
230,At least once a week,4,At least a few times a week,8,,,,,,,1,,No,Yes,M1E,Retired,Female,English,85 years or older,85
231,At least once a day,30,Never,0,1,1,,1,,,,,No,Yes,m1e,Retired,Male,English,70-74 years,70
232,At least once a day,30,At least once a day,30,1,,1,,,,,,Yes,Yes,M1E,Retired,Male,English,75-79 years,75
233,At least a few times each week,8,Never,0,,,,,,,1,1,Yes,Yes,M1E,Unable to work for health or other reasons,Female,English,55-59 years,55
234,At least once a month,1,At least once a day,30,,,1,,,,,,No,Yes,m1e,Employed full-time,Female,,55-59 years,55
235,At least a few times each week,8,At least once a week,4,1,1,1,,,,,1,No,Yes,M1E,Employed full-time,Female,English,60-64 years,60
236,At least a few times each week,8,At least once a day,30,,,1,,,,,,No,Yes,M1E,Retired,Female,English,70-74 years,70
237,At least once a month,1,Never,0,1,,1,,1,,,1,No,Yes,M1E,Retired,Female,English,65-69 years,65
238,At least once a week,4,At least once a week,4,,,1,,,,,,No,Yes,M1E,Employed part-time,Female,English,65-69 years,65
239,At least a few times each week,8,Never,0,1,,1,,,,,,No,Yes,M1E,"Unemployed, looking for work",Female,English,65-69 years,65
240,At least once a day,30,At least a few times a week,8,,,,,,,1,,,Yes,M1E,Retired,Female,English,80-84 years,80
